time,thrust
6221.24,15.335994300000001
6221.25,15.592910700000001
6221.26,15.1369601
6221.27,15.0445514
6221.28,14.8069291
6221.29,14.564229399999999
6221.3,17.568019699999997
6221.31,15.485269899999997
6221.32,16.9506078
6221.33,26.340752899999995
6221.34,29.9345372
6221.35,39.5328557
6221.36,43.3500456
6221.37,55.849590899999995
6221.38,71.0076632
6221.39,87.53054079999998
6221.4,104.77237839999998
6221.41,153.92263359999998
6221.42,193.66243419999995
6221.43,220.01008239999996
6221.44,276.21995569999996
6221.45,304.80470679999996
6221.46,366.6515105
6221.47,384.10253709999995
6221.48,427.03602279999996
6221.49,481.9948246
6221.5,526.7561745999999
6221.51,529.7650422999999
6221.52,549.8867816
6221.53,602.0022389
6221.54,608.4342902000001
6221.55,676.4978633999999
6221.56,724.6712266999999
6221.57,768.6405020999998
6221.58,814.2528245
6221.59,886.2006093
6221.6,955.4502633
6221.61,1026.4973172000002
6221.62,1147.7710354
6221.63,1193.4828748000002
6221.64,1267.2087654000002
6221.65,1346.3512271000004
6221.66,1414.5508747000003
6221.67,1530.4689505000003
6221.68,1619.3610372000003
6221.69,1657.8274257000005
6221.7,1719.4518392999998
6221.71,1829.181579
6221.72,1861.1478789
6221.73,1911.0790384
6221.74,1948.2669374000002
6221.75,2012.7539894999998
6221.76,2068.9811259
6221.77,2065.6564438
6221.78,2072.0397521
6221.79,2074.8323225
6221.8,2065.8960971
6221.81,1988.2006946000001
6221.82,2004.0909282
6221.83,2003.0419372000003
6221.84,2010.3361311
6221.85,1920.7484404000002
6221.86,1940.6447432
6221.87,1966.0449485000004
6221.88,2005.732959600001
6221.89,2107.641471100001
6221.9,2206.2344398000014
6221.91,2337.4852505000017
6221.92,2359.6318573000017
6221.93,2434.868782400002
6221.94,2491.3711140000023
6221.95,2546.9909934000025
6221.96,2534.5919807000028
6221.97,2502.516008900003
6221.98,2470.247095900003
6221.99,2449.0387928000027
6222.0,2449.9324154000033
6222.01,2423.2395039000025
6222.02,2378.3898071000017
6222.03,2357.0951881000015
6222.04,2432.7860328000024
6222.05,2491.1081048000024
6222.06,2507.9143014000015
6222.07,2618.2756697000004
6222.08,2692.3661175999996
6222.09,2691.0145135
6222.1,2666.113924399999
6222.11,2676.327623799999
6222.12,2749.677786799999
6222.13,2801.5170334999975
6222.14,2769.649235199996
6222.15,2765.825952399995
6222.16,2770.6037865999942
6222.17,2746.2221079999945
6222.18,2720.3161936999954
6222.19,2700.7052407999945
6222.2,2704.3091798999944
6222.21,2669.6609968999937
6222.22,2672.9795859999954
6222.23,2645.5514668999967
6222.24,2594.8211244999984
6222.25,2589.4441571
6222.26,2594.882053300002
6222.27,2584.5942238000016
6222.28,2577.7580113000004
6222.29,2610.3488316000003
6222.3,2616.9403133999995
6222.31,2636.8498174000006
6222.32,2612.9961885
6222.33,2561.4879882999985
6222.34,2553.626140899997
6222.35,2517.7339945999965
6222.36,2488.357169099996
6222.37,2477.7829740999964
6222.38,2499.3466952999966
6222.39,2503.6381143999956
6222.4,2494.2175048999984
6222.41,2472.1155791999977
6222.42,2441.236858499999
6222.43,2497.4365770000004
6222.44,2506.797273100002
6222.45,2518.483418800001
6222.46,2511.2501535999995
6222.47,2501.111599699999
6222.48,2459.6495448
6222.49,2407.556428100003
6222.5,2365.399784700002
6222.51,2388.3496363000013
6222.52,2412.036726500001
6222.53,2393.939854600001
6222.54,2355.6603145
6222.55,2312.9065688
6222.56,2330.2885427
6222.57,2356.037057700002
6222.58,2421.0460666000026
6222.59,2444.227447700003
6222.6,2453.7699148000015
6222.61,2477.9627142000013
6222.62,2530.4569456
6222.63,2546.734077099999
6222.64,2582.3205637999986
6222.65,2610.443271299996
6222.66,2620.0517445999953
6222.67,2617.7750379999925
6222.68,2535.9161667999897
6222.69,2512.4931013999912
6222.7,2511.210549999995
6222.71,2374.3786602999926
6222.72,2227.4843776999915
6222.73,2195.52620149999
6222.74,2164.4941432999913
6222.75,2184.009641099995
6222.76,2175.630914299999
6222.77,2172.397625499999
6222.78,2208.5202858000002
6222.79,2230.8070288999998
6222.8,2245.4015096999997
6222.81,2353.655756700004
6222.82,2461.941483600007
6222.83,2498.3444164000102
6222.84,2555.5626615000074
6222.85,2556.579157100007
6222.86,2482.7943686000012
6222.87,2484.967496200005
6222.88,2449.1444025000033
6222.89,2455.1418283000007
6222.9,2461.787130499998
6222.91,2418.409879999998
6222.92,2395.8144308999995
6222.93,2374.4934094999976
6222.94,2391.5047331999986
6222.95,2419.4659793999977
6222.96,2475.9672955000015
6222.97,2444.656995700003
6222.98,2460.4334955000027
6222.99,2488.282023400004
6223.0,2516.817015900003
6223.01,2541.252515
6223.02,2520.046242899995
6223.03,2470.384185699996
6223.04,2485.119818299997
6223.05,2499.3558346999985
6223.06,2420.0031685999943
6223.07,2448.5076966999914
6223.08,2462.116146299994
6223.09,2447.719684099994
6223.1,2403.062928599998
6223.11,2472.100347300002
6223.12,2539.836935900006
6223.13,2596.391056900006
6223.14,2608.0203357000078
6223.15,2619.0454038000084
6223.16,2737.0127185000106
6223.17,2726.9462636000126
6223.18,2789.028658700013
6223.19,2820.311540500011
6223.2,2874.523964300007
6223.21,2849.499486700003
6223.22,2824.926897700003
6223.23,2835.007569300005
6223.24,2838.5972916000055
6223.25,2797.6571934000067
6223.26,2774.762177700008
6223.27,2768.103674300009
6223.28,2654.7060203000087
6223.29,2625.3860617000087
6223.3,2639.22908720001
6223.31,2621.6592494000097
6223.32,2582.013888500008
6223.33,2568.8197548000026
6223.34,2547.362659
6223.35,2601.2816090999986
6223.36,2631.3256050999976
6223.37,2609.253128399997
6223.38,2668.304315199994
6223.39,2679.0734822999975
6223.4,2674.196131099999
6223.41,2726.4568021000014
6223.42,2802.867622200004
6223.43,2826.853263500007
6223.44,2828.9502301000057
6223.45,2783.0261553000078
6223.46,2792.0598669000087
6223.47,2891.436786300008
6223.48,2969.3200527000126
6223.49,2859.7781768000104
6223.5,2869.485151700006
6223.51,2863.404456500005
6223.52,2862.9393666000046
6223.53,2807.1438092000026
6223.54,2771.4121088000015
6223.55,2756.2662222000013
6223.56,2780.186872800003
6223.57,2789.4602376000025
6223.58,2696.3092270000025
6223.59,2807.2890228000006
6223.6,2806.0521680000006
6223.61,2768.1483555999994
6223.62,2812.548194699996
6223.63,2924.567842199997
6223.64,2972.9625801999996
6223.65,3008.567345599993
6223.66,2965.145413999993
6223.67,2938.726682199992
6223.68,2961.8329177999867
6223.69,2907.812419699994
6223.7,2894.397926699993
6223.71,2883.984177599993
6223.72,2805.6886262999965
6223.73,2783.9959390999925
6223.74,2772.100604499993
6223.75,2773.448146699998
6223.76,2849.7868676999933
6223.77,2870.4447805999894
6223.78,2830.4988374999957
6223.79,2799.591683299991
6223.8,2793.9923256999928
6223.81,2804.391857999994
6223.82,2827.372173999995
6223.83,2806.7416791000055
6223.84,2893.209814700007
6223.85,2913.276718100009
6223.86,2863.8868095000157
6223.87,2848.2666937000236
6223.88,2951.8659796000225
6223.89,3031.2277851000194
6223.9,3022.1656402000226
6223.91,3029.166360500024
6223.92,3018.1646484000257
6223.93,2989.0193523000225
6223.94,2892.0785698000227
6223.95,2893.50735040002
6223.96,2920.93445410002
6223.97,2909.9825005000225
6223.98,2912.0083835000173
6223.99,2981.1250097000157
6224.0,3004.1114186000195
6224.01,3055.340361700021
6224.02,3091.651901300019
6224.03,3128.505707300012
6224.04,3162.9670420000098
6224.05,3140.4822803000106
6224.06,3116.6215430000098
6224.07,3108.2661722999997
6224.08,3086.4800609000026
6224.09,2992.378560800012
6224.1,2967.5074207000084
6224.11,2917.120310600009
6224.12,2908.806574500003
6224.13,2905.664678800013
6224.14,2858.4590681000145
6224.15,2851.2887627000105
6224.16,2893.7581739000043
6224.17,572.2527319000103
6224.18,-6492.817454999988
